county,county_seat,population,mandate,days_since_mandate,size,density
Adair,Kirksville,"25,607",11/25/2020,11,568,45.08274648
Andrew,Savannah,"17,291",12/6/2020,0,435,39.74942529
Atchison,Rock Port,"5,685",12/6/2020,0,545,10.43119266
Audrain,Mexico,"25,529",12/6/2020,0,693,36.83838384
Barry,Cassville,"35,597",12/6/2020,0,779,45.6957638
Barton,Lamar,"12,402",12/6/2020,0,594,20.87878788
Bates,Butler,"17,049",12/6/2020,0,848,20.10495283
Benton,Warsaw,"19,056",12/6/2020,0,706,26.99150142
Bollinger,Marble Hill,"12,363",12/6/2020,0,621,19.90821256
Boone,Columbia,"162,642",11/25/2020,11,685,237.4335766
Buchanan,Saint Joseph,"89,201",12/6/2020,0,410,217.5634146
Butler,Poplar Bluff,"42,794",12/6/2020,0,698,61.30945559
Caldwell,Kingston,"9,424",12/6/2020,0,429,21.96736597
Callaway,Fulton,"44,332",12/6/2020,0,839,52.83909416
Camden,Camdenton,"44,002",12/6/2020,0,655,67.17862595
Cape Girardeau,Jackson,"75,674",10/27/2020,40,579,130.6977547
Carroll,Carrollton,"9,295",12/6/2020,0,695,13.37410072
Carter,Van Buren,"6,265",12/6/2020,0,508,12.33267717
Cass,Harrisonville,"99,478",12/6/2020,0,699,142.3147353
Cedar,Stockton,"13,982",12/6/2020,0,476,29.37394958
Chariton,Keytesville,"7,831",12/6/2020,0,756,10.35846561
Christian,Ozark,"77,422",12/6/2020,0,563,137.5168739
Clark,Kahoka,"7,139",12/6/2020,0,507,14.08086785
Clay,Liberty,"221,939",7/14/2020,145,396,560.4520202
Clinton,Plattsburg,"20,743",12/6/2020,0,419,49.50596659
Cole,Jefferson City,"75,990",12/6/2020,0,392,193.8520408
Cooper,Boonville,"17,601",12/6/2020,0,565,31.15221239
Crawford,Steelville,"24,696",12/6/2020,0,743,33.23822342
Dade,Greenfield,"7,883",12/6/2020,0,490,16.0877551
Dallas,Buffalo,"16,777",12/6/2020,0,542,30.95387454
Daviess,Gallatin,"8,433",12/6/2020,0,567,14.87301587
DeKalb,Maysville,"12,892",12/6/2020,0,424,30.40566038
Dent,Salem,"15,657",12/6/2020,0,754,20.76525199
Douglas,Ava,"13,684",12/6/2020,0,815,16.79018405
Dunklin,Kennett,"31,953",12/6/2020,0,546,58.52197802
Franklin,Union,"101,492",11/20/2020,16,922,110.0780911
Gasconade,Hermann,"15,222",12/6/2020,0,520,29.27307692
Gentry,Albany,"6,738",12/6/2020,0,492,13.69512195
Greene,Springfield,"275,174",7/16/2020,143,675,407.6651852
Grundy,Trenton,"10,261",12/6/2020,0,436,23.53440367
Harrison,Bethany,"8,957",12/6/2020,0,725,12.35448276
Henry,Clinton,"22,272",12/6/2020,0,702,31.72649573
Hickory,Hermitage,"9,627",12/6/2020,0,399,24.12781955
Holt,Oregon,"4,912",12/6/2020,0,462,10.63203463
Howard,Fayette,"10,144",12/6/2020,0,466,21.76824034
Howell,West Plains,"40,400",12/6/2020,0,928,43.53448276
Iron,Ironton,"10,630",12/6/2020,0,551,19.29219601
Jackson,Independence,"674,158",11/18/2020,18,605,1114.310744
Jasper,Carthage,"117,404",11/19/2020,17,640,183.44375
Jefferson,Hillsboro,"218,733",11/27/2020,9,657,332.9269406
Johnson,Warrensburg,"52,595",10/12/2020,55,831,63.2912154
Knox,Edina,"4,131",12/6/2020,0,506,8.164031621
Laclede,Lebanon,"35,571",12/6/2020,0,766,46.43733681
Lafayette,Lexington,"33,381",12/6/2020,0,629,53.06995231
Lawrence,Mount Vernon,"38,634",12/6/2020,0,613,63.02446982
Lewis,Monticello,"10,211",12/6/2020,0,505,20.21980198
Lincoln,Troy,"52,566",12/6/2020,0,630,83.43809524
Linn,Linneus,"12,761",12/6/2020,0,620,20.58225806
Livingston,Chillicothe,"15,195",12/6/2020,0,535,28.40186916
Macon,Macon,"15,566",12/6/2020,0,804,19.36069652
Madison,Fredericktown,"12,226",12/6/2020,0,497,24.59959759
Maries,Vienna,"9,176",12/6/2020,0,528,17.37878788
Marion,Palmyra,"28,781",12/6/2020,0,438,65.71004566
McDonald,Pineville,"23,083",12/6/2020,0,540,42.7462963
Mercer,Princeton,"3,785",12/6/2020,0,454,8.337004405
Miller,Tuscumbia,"24,748",12/6/2020,0,592,41.80405405
Mississippi,Charleston,"14,358",12/6/2020,0,413,34.76513317
Moniteau,California,"15,607",12/6/2020,0,417,37.42685851
Monroe,Paris,"8,840",12/6/2020,0,646,13.68421053
Montgomery,Montgomery City,"12,236",12/6/2020,0,539,22.7012987
Morgan,Versailles,"20,565",12/6/2020,0,598,34.38963211
New Madrid,New Madrid,"18,956",12/6/2020,0,678,27.95870206
Newton,Neosho,"58,114",12/6/2020,0,626,92.83386581
Nodaway,Maryville,"23,370",12/6/2020,0,877,26.64766249
Oregon,Alton,"10,881",12/6/2020,0,792,13.73863636
